Tag: agent_acquaintance, Pattern 33 
Tag: agent_age, Pattern 40 
Tag: agent_bad, Pattern 36 
Tag: agent_be_clever, Pattern 13 
Tag: agent_beautiful, Pattern 69 
Tag: agent_birth_date, Pattern 11 
Tag: agent_boring, Pattern 9 
Tag: agent_boss, Pattern 15 
Tag: agent_busy, Pattern 32 
Tag: agent_chatbot, Pattern 11 
Tag: agent_clever, Pattern 29 
Tag: agent_crazy, Pattern 20 
Tag: agent_fired, Pattern 24 
Tag: agent_funny, Pattern 15 
Tag: agent_good, Pattern 60 
Tag: agent_happy, Pattern 19 
Tag: agent_hungry, Pattern 15 
Tag: agent_marry_user, Pattern 16 
Tag: agent_my_friend, Pattern 59 
Tag: agent_occupation, Pattern 16 
Tag: agent_origin, Pattern 17 
Tag: agent_ready, Pattern 12 
Tag: agent_real, Pattern 17 
Tag: agent_residence, Pattern 32 
Tag: agent_right, Pattern 16 
Tag: confirmation_yes, Pattern 79 
Tag: agent_sure, Pattern 13 
Tag: agent_talk_to_me, Pattern 28 
Tag: agent_there, Pattern 12 
Tag: appraisal_bad, Pattern 56 
Tag: appraisal_good, Pattern 78 
Tag: appraisal_no_problem, Pattern 13 
Tag: appraisal_thank_you, Pattern 40 
Tag: appraisal_welcome, Pattern 10 
Tag: appraisal_well_done, Pattern 9 
Tag: confirmation_cancel, Pattern 82 
Tag: confirmation_no, Pattern 66 
Tag: dialog_hold_on, Pattern 10 
Tag: dialog_hug, Pattern 20 
Tag: dialog_i_do_not_care, Pattern 15 
Tag: dialog_sorry, Pattern 34 
Tag: dialog_what_do_you_mean, Pattern 9 
Tag: dialog_wrong, Pattern 18 
Tag: emotions_ha_ha, Pattern 33 
Tag: emotions_wow, Pattern 5 
Tag: greetings_bye, Pattern 41 
Tag: greetings_goodevening, Pattern 7 
Tag: greetings_goodmorning, Pattern 10 
Tag: greetings_goodnight, Pattern 19 
Tag: greetings_hello, Pattern 16 
Tag: greetings_how_are_you, Pattern 59 
Tag: greetings_nice_to_meet_you, Pattern 10 
Tag: greetings_nice_to_see_you, Pattern 16 
Tag: greetings_nice_to_talk_to_you, Pattern 10 
Tag: greetings_whatsup, Pattern 31 
Tag: user_angry, Pattern 9 
Tag: user_back, Pattern 8 
Tag: user_bored, Pattern 12 
Tag: user_busy, Pattern 15 
Tag: user_can_not_sleep, Pattern 10 
Tag: user_does_not_want_to_talk, Pattern 19 
Tag: user_excited, Pattern 11 
Tag: user_going_to_bed, Pattern 17 
Tag: user_good, Pattern 14 
Tag: user_happy, Pattern 9 
Tag: user_has_birthday, Pattern 12 
Tag: user_here, Pattern 9 
Tag: user_joking, Pattern 16 
Tag: user_likes_agent, Pattern 78 
Tag: user_lonely, Pattern 7 
Tag: user_looks_like, Pattern 14 
Tag: user_loves_agent, Pattern 9 
Tag: user_misses_agent, Pattern 6 
Tag: user_needs_advice, Pattern 69 
Tag: user_sad, Pattern 17 
Tag: user_sleepy, Pattern 7 
Tag: user_testing_agent, Pattern 14 
Tag: user_tired, Pattern 11 
Tag: user_waits, Pattern 9 
Tag: user_wants_to_see_agent_again, Pattern 8 
Tag: user_wants_to_talk, Pattern 18 
Tag: user_will_be_back, Pattern 9 
